StrategyName,EntryTime,LastModTime,State,LastUpdateType,Symbol,Side,Type,TIF,Price,Quantity,DisplayQuantity,FilledQty,Remains,AvgFillPrice,ExecutionCost,Account,Trader,Broker,MarketCenter,OrderId,Tag,Reason,Closure
VWAP8,2019-Sep-13 19:11:08.897723,2019-Sep-13 19:11:08.897723,FILLED,FILL,AAPL,BUY,MARKET,DAY,219.980000,5,0,5,0,219.980000,0.006000,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,369229748514339,,,
VWAP8,2019-Sep-13 19:11:08.898895,2019-Sep-13 19:11:08.898895,FILLED,FILL,AAPL,SELL,MARKET,DAY,217.500000,-1,0,-1,0,217.500000,0.006072,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,369229748514340,,,
VWAP8,2019-Sep-13 19:11:08.953904,2019-Sep-13 19:11:08.953904,FILLED,FILL,MSFT,BUY,MARKET,DAY,140.840000,1,0,1,0,140.840000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,369229748514341,,,
VWAP8,2019-Sep-13 19:11:15.279480,2019-Sep-13 19:11:15.279480,FILLED,FILL,MSFT,BUY,MARKET,DAY,140.840000,1,0,1,0,140.840000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,369229748514342,,,
VWAP8,2019-Sep-13 19:11:21.733936,2019-Sep-13 19:11:21.733936,FILLED,FILL,AAPL,SELL,MARKET,DAY,217.500000,-1,0,-1,0,217.500000,0.006072,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,369229748514343,,,
VWAP8,2019-Sep-13 19:11:23.137304,2019-Sep-13 19:11:23.137304,FILLED,FILL,AAPL,SELL,MARKET,DAY,217.500000,-1,0,-1,0,217.500000,0.006072,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,369229748514344,,,
VWAP8,2019-Sep-13 19:11:23.542938,2019-Sep-13 19:11:23.542938,FILLED,FILL,MSFT,SELL,MARKET,DAY,137.050000,-5,0,-5,0,137.050000,0.021350,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,369229748514345,,,
VWAP8,2019-Sep-13 19:11:38.091538,2019-Sep-13 19:11:38.091538,FILLED,FILL,AAPL,SELL,MARKET,DAY,170.000000,-1,0,-1,0,170.000000,0.005008,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,369229748514346,,,
VWAP8,2019-Sep-13 19:11:43.313424,2019-Sep-13 19:11:43.313424,FILLED,FILL,AAPL,SELL,MARKET,DAY,170.000000,-1,0,-1,0,170.000000,0.005008,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,369229748514347,,,
VWAP8,2019-Sep-13 19:11:48.224517,2019-Sep-13 19:11:48.224517,FILLED,FILL,MSFT,BUY,MARKET,DAY,140.840000,1,0,1,0,140.840000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,369229748514348,,,
VWAP8,2019-Sep-13 19:11:48.941630,2019-Sep-13 19:11:48.941630,FILLED,FILL,MSFT,BUY,MARKET,DAY,140.840000,1,0,1,0,140.840000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,NASDAQ,369229748514349,,,
