StrategyName,TradeTime,Symbol,Quantity,Price,ExecutionCost,LiquidityAction,LiquidityCode,RawLiquidity,Account,Trader,MarketCenter,OrderID,ExecID,TransactionType
VWAP8,2019-Sep-13 17:41:35.892851,AAPL,-1,170.000000,0.005008,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512099,,FILL
VWAP8,2019-Sep-13 17:41:39.074171,MSFT,1,137.520000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512100,,FILL
VWAP8,2019-Sep-13 17:41:46.163376,MSFT,1,137.520000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512101,,FILL
VWAP8,2019-Sep-13 17:41:48.132288,AAPL,-1,170.000000,0.005008,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512102,,FILL
VWAP8,2019-Sep-13 17:41:49.240146,AAPL,-1,170.000000,0.005008,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512103,,FILL
VWAP8,2019-Sep-13 17:41:50.622851,AAPL,-1,170.000000,0.005008,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512104,,FILL
VWAP8,2019-Sep-13 17:41:52.021703,AAPL,-1,170.000000,0.005008,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512105,,FILL
VWAP8,2019-Sep-13 17:41:53.174021,AAPL,5,218.500000,0.006000,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512106,,FILL
VWAP8,2019-Sep-13 17:41:55.396707,AAPL,-1,170.000000,0.005008,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512107,,FILL
VWAP8,2019-Sep-13 17:41:55.929701,AAPL,-1,170.000000,0.005008,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512108,,FILL
VWAP8,2019-Sep-13 17:41:55.929711,AAPL,-1,170.000000,0.005008,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512109,,FILL
VWAP8,2019-Sep-13 17:42:01.404879,MSFT,1,137.520000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512110,,FILL
VWAP8,2019-Sep-13 17:42:09.431482,MSFT,1,137.520000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512111,,FILL
VWAP8,2019-Sep-13 17:42:14.067834,AAPL,-1,170.000000,0.005008,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512112,,FILL
VWAP8,2019-Sep-13 17:42:14.067849,AAPL,-1,170.000000,0.005008,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512113,,FILL
VWAP8,2019-Sep-13 17:42:14.783266,AAPL,5,218.500000,0.006000,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512114,,FILL
VWAP8,2019-Sep-13 17:42:15.377850,AAPL,-1,170.000000,0.005008,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512115,,FILL
VWAP8,2019-Sep-13 17:42:15.377957,AAPL,-1,170.000000,0.005008,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512116,,FILL
VWAP8,2019-Sep-13 17:42:19.793800,AAPL,-1,170.000000,0.005008,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512117,,FILL
VWAP8,2019-Sep-13 17:42:31.028432,AAPL,-1,170.000000,0.005008,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512118,,FILL
VWAP8,2019-Sep-13 17:42:34.107319,AAPL,-1,170.000000,0.005008,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512119,,FILL
VWAP8,2019-Sep-13 17:42:34.108236,AAPL,5,218.500000,0.006000,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512120,,FILL
VWAP8,2019-Sep-13 17:42:37.964389,MSFT,1,137.520000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512121,,FILL
VWAP8,2019-Sep-13 17:42:39.319153,AAPL,-1,170.000000,0.005008,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512122,,FILL
VWAP8,2019-Sep-13 17:42:41.078530,MSFT,-5,137.360000,0.021384,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512123,,FILL
VWAP8,2019-Sep-13 17:42:47.044647,AAPL,-1,170.000000,0.005008,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512124,,FILL
VWAP8,2019-Sep-13 17:42:49.886573,MSFT,1,137.350000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512125,,FILL
VWAP8,2019-Sep-13 17:42:52.087772,AAPL,-1,170.000000,0.005008,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512126,,FILL
VWAP8,2019-Sep-13 17:42:52.088449,AAPL,-1,170.000000,0.005008,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512127,,FILL
VWAP8,2019-Sep-13 17:42:52.088589,AAPL,-1,170.000000,0.005008,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512128,,FILL
VWAP8,2019-Sep-13 17:42:55.713754,AAPL,5,218.500000,0.006000,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512129,,FILL
VWAP8,2019-Sep-13 17:43:01.147934,MSFT,1,137.520000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512130,,FILL
VWAP8,2019-Sep-13 17:43:02.998597,MSFT,1,137.520000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512131,,FILL
VWAP8,2019-Sep-13 17:43:04.292687,AAPL,-1,170.000000,0.005008,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512132,,FILL
VWAP8,2019-Sep-13 17:43:04.946380,AAPL,-1,170.000000,0.005008,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512133,,FILL
VWAP8,2019-Sep-13 17:43:09.840279,MSFT,1,137.360000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512134,,FILL
VWAP8,2019-Sep-13 17:43:09.840452,MSFT,1,137.360000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512135,,FILL
VWAP8,2019-Sep-13 17:43:16.877015,AAPL,-1,170.000000,0.005008,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512136,,FILL
VWAP8,2019-Sep-13 17:43:18.811943,MSFT,-5,137.300000,0.021378,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512137,,FILL
VWAP8,2019-Sep-13 17:43:23.235736,MSFT,1,137.520000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512138,,FILL
VWAP8,2019-Sep-13 17:43:26.206646,AAPL,-1,170.000000,0.005008,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512139,,FILL
VWAP8,2019-Sep-13 17:43:27.038774,AAPL,-1,170.000000,0.005008,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512140,,FILL
VWAP8,2019-Sep-13 17:43:27.833462,AAPL,5,217.100000,0.006000,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512141,,FILL
VWAP8,2019-Sep-13 17:43:27.833479,AAPL,-1,170.000000,0.005008,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512142,,FILL
VWAP8,2019-Sep-13 17:43:27.835001,AAPL,-1,170.000000,0.005008,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512143,,FILL
VWAP8,2019-Sep-13 17:43:27.837074,AAPL,-1,170.000000,0.005008,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512144,,FILL
VWAP8,2019-Sep-13 17:43:36.277547,MSFT,1,137.320000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512145,,FILL
VWAP8,2019-Sep-13 17:43:38.117120,AAPL,-1,170.000000,0.005008,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512146,,FILL
VWAP8,2019-Sep-13 17:43:41.581221,MSFT,1,137.310000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512147,,FILL
VWAP8,2019-Sep-13 17:43:42.934354,MSFT,1,137.320000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512148,,FILL
VWAP8,2019-Sep-13 17:43:49.842281,MSFT,1,137.520000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512149,,FILL
VWAP8,2019-Sep-13 17:43:50.595024,MSFT,-5,128.000000,0.020336,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512150,,FILL
VWAP8,2019-Sep-13 17:43:57.507265,MSFT,1,137.290000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512151,,FILL
VWAP8,2019-Sep-13 17:43:57.511236,MSFT,1,137.290000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512152,,FILL
VWAP8,2019-Sep-13 17:43:58.378823,MSFT,1,137.300000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512153,,FILL
VWAP8,2019-Sep-13 17:43:58.404623,MSFT,1,137.300000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512154,,FILL
VWAP8,2019-Sep-13 17:44:01.278397,MSFT,1,137.520000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512155,,FILL
VWAP8,2019-Sep-13 17:44:01.377250,MSFT,-5,128.000000,0.020336,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512156,,FILL
VWAP8,2019-Sep-13 17:44:01.377267,MSFT,1,137.270000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512157,,FILL
VWAP8,2019-Sep-13 17:44:02.991037,MSFT,1,137.520000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512158,,FILL
VWAP8,2019-Sep-13 17:44:04.129689,MSFT,1,137.270000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512159,,FILL
VWAP8,2019-Sep-13 17:44:04.901711,MSFT,1,137.520000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512160,,FILL
VWAP8,2019-Sep-13 17:44:07.303201,AAPL,-1,170.000000,0.005008,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512161,,FILL
VWAP8,2019-Sep-13 17:44:07.670629,AAPL,5,218.500000,0.006000,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512162,,FILL
VWAP8,2019-Sep-13 17:44:07.671662,AAPL,-1,170.000000,0.005008,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512163,,FILL
VWAP8,2019-Sep-13 17:44:08.715970,MSFT,1,137.520000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748512164,,FILL
